,abv,ibu,style
977,5.3,48.0,American Pale Ale (APA)
979,5.0,30.0,American Pale Ale (APA)
980,5.7,44.0,American Pale Ale (APA)
981,6.7,71.0,American Black Ale
983,8.5,69.0,American Double / Imperial IPA
985,6.0,54.0,American Pale Ale (APA)
986,4.0,20.0,Witbier
988,6.0,34.0,American Porter
989,6.0,54.0,American Pale Ale (APA)
990,4.9,22.0,Cream Ale
991,4.5,6.0,American Pale Wheat Ale
993,5.0,25.0,Pumpkin Ale
994,5.0,35.0,Czech Pilsener
995,6.5,25.0,American Amber / Red Ale
997,5.0,35.0,American Pale Ale (APA)
998,4.0,55.0,American IPA
1001,6.9,67.0,American IPA
1011,7.000000000000001,40.0,American IPA
1012,5.2,18.0,American Blonde Ale
1013,4.6,17.0,Fruit / Vegetable Beer
1014,4.3,14.0,Munich Helles Lager
1015,7.5,70.0,American IPA
1016,4.3999999999999995,18.0,Cream Ale
1017,5.6000000000000005,55.0,American Pale Ale (APA)
1021,5.0,28.0,Kölsch
1022,5.8999999999999995,42.0,American IPA
1023,5.8999999999999995,20.0,Pumpkin Ale
1024,5.5,30.0,Märzen / Oktoberfest
1025,5.8999999999999995,42.0,American IPA
1026,5.0,28.0,Kölsch
1027,4.8,10.0,American Pale Wheat Ale
1028,5.0,28.0,Kölsch
1029,5.8999999999999995,42.0,American IPA
1037,7.6,65.0,Belgian IPA
1038,6.2,40.0,American Pale Lager
1039,8.8,77.0,American Double / Imperial IPA
1040,7.200000000000001,45.0,American IPA
1041,6.0,30.0,Märzen / Oktoberfest
1043,6.3,30.0,Cream Ale
1044,8.0,86.0,American IPA
1046,6.3,21.0,American Pilsner
1047,7.000000000000001,68.0,American Pale Ale (APA)
1048,4.3999999999999995,22.0,American Pale Wheat Ale
1051,4.5,32.0,American Pale Ale (APA)
1052,5.5,34.0,Czech Pilsener
1053,4.9,20.0,American Blonde Ale
1054,5.5,60.0,American Amber / Red Ale
1055,6.6000000000000005,30.0,Saison / Farmhouse Ale
1057,4.2,25.0,Saison / Farmhouse Ale
1058,4.7,28.0,American Brown Ale
1059,5.800000000000001,45.0,American IPA
1060,4.9,20.0,American Blonde Ale
1062,6.3,70.0,American IPA
1063,4.9,20.0,American Blonde Ale
1064,4.8,13.0,American Pale Lager
1065,6.5,90.0,American IPA
1066,6.5,90.0,American IPA
1067,4.9,20.0,American Blonde Ale
1071,6.0,50.0,American Pale Ale (APA)
1075,3.9,20.0,American Pale Wheat Ale
1076,3.9,20.0,American Pale Wheat Ale
1077,3.9,20.0,American Pale Wheat Ale
1078,3.9,20.0,American Pale Wheat Ale
1079,3.9,20.0,American Pale Wheat Ale
1080,3.9,20.0,American Pale Wheat Ale
1081,3.9,20.0,American Pale Wheat Ale
1082,3.9,20.0,American Pale Wheat Ale
1083,3.9,20.0,American Pale Wheat Ale
1084,3.9,20.0,American Pale Wheat Ale
1085,3.9,20.0,American Pale Wheat Ale
1086,3.9,20.0,American Pale Wheat Ale
1087,5.800000000000001,60.0,American Amber / Red Ale
1088,5.800000000000001,35.0,American Stout
1089,6.6000000000000005,75.0,American IPA
1092,5.800000000000001,60.0,American Amber / Red Ale
1094,5.1,32.0,Czech Pilsener
1095,6.6000000000000005,75.0,American IPA
1097,5.1,17.0,Hefeweizen
1101,6.800000000000001,90.0,American IPA
1103,5.0,10.0,Fruit / Vegetable Beer
1104,4.6,27.0,American Pale Wheat Ale
1105,6.5,80.0,American Black Ale
1106,5.4,45.0,American Pale Ale (APA)
1107,4.8,32.0,American Amber / Red Ale
1108,5.5,42.0,American Pale Ale (APA)
1109,5.8999999999999995,27.0,Witbier
1110,5.800000000000001,58.0,American Pale Ale (APA)
1111,7.000000000000001,75.0,American IPA
1112,5.5,20.0,Cream Ale
1113,4.5,20.0,American Blonde Ale
1114,6.800000000000001,55.0,American IPA
1115,5.3,28.0,American Pale Ale (APA)
1119,4.8,15.0,American Pale Lager
1125,5.5,37.0,American Pale Ale (APA)
1138,5.0,15.0,Hefeweizen
1139,5.0,50.0,American Pale Ale (APA)
1140,9.3,90.0,American Double / Imperial IPA
1141,5.2,15.0,American Adjunct Lager
1144,5.2,16.0,Hefeweizen
1146,5.5,40.0,American Pale Ale (APA)
1147,5.5,25.0,Märzen / Oktoberfest
1148,4.7,20.0,Kölsch
1149,6.6000000000000005,20.0,Saison / Farmhouse Ale
1150,9.5,85.0,American Double / Imperial IPA
1151,4.9,45.0,American Amber / Red Lager
1152,5.2,15.0,Hefeweizen
1153,6.6000000000000005,70.0,American IPA
1155,6.0,64.0,American IPA
1156,5.5,23.0,Czech Pilsener
1158,5.0,15.0,American Blonde Ale
1162,6.5,65.0,American IPA
1163,6.5,65.0,American IPA
1164,5.5,50.0,American Pale Ale (APA)
1165,6.5,65.0,American IPA
1176,6.0,70.0,American IPA
1177,5.7,10.0,Hefeweizen
1179,6.3,65.0,American IPA
1180,4.8,11.0,American Pale Wheat Ale
1181,4.6,18.0,American Amber / Red Lager
1182,4.6,18.0,American Amber / Red Lager
1183,4.6,18.0,American Amber / Red Lager
1184,4.6,18.0,American Amber / Red Lager
1187,5.4,15.0,Hefeweizen
1188,7.200000000000001,100.0,American IPA
1190,4.8,28.0,Kölsch
1195,5.0,12.0,Cream Ale
1196,4.8,9.0,American Pilsner
1197,6.4,66.0,American IPA
1198,6.4,95.0,American IPA
1199,5.6000000000000005,70.0,American IPA
1206,5.2,30.0,German Pilsener
1207,6.0,30.0,Saison / Farmhouse Ale
1208,5.800000000000001,40.0,American Stout
1209,5.7,42.0,American Amber / Red Ale
1210,5.2,20.0,Fruit / Vegetable Beer
1211,6.5,75.0,American IPA
1212,5.7,40.0,American Pale Ale (APA)
1215,5.7,47.0,American Pale Ale (APA)
1216,5.800000000000001,11.0,Hefeweizen
1217,6.1,30.0,American Brown Ale
1219,4.6,30.0,American Amber / Red Ale
1221,4.0,8.0,Fruit / Vegetable Beer
1224,4.8,20.0,German Pilsener
1227,6.2,65.0,American IPA
1228,5.6000000000000005,55.0,Czech Pilsener
1229,5.2,29.0,American Stout
1234,5.1,31.0,Belgian Pale Ale
1236,5.3,20.0,American Pilsner
1240,5.1,32.0,American Amber / Red Ale
1244,4.3,18.0,American Blonde Ale
1246,7.9,18.0,Fruit / Vegetable Beer
1247,4.7,11.0,Kölsch
1248,5.0,40.0,American Pale Ale (APA)
1249,6.9,70.0,American IPA
1250,7.000000000000001,32.0,American Brown Ale
1251,6.0,30.0,American Amber / Red Ale
1252,5.1,20.0,Fruit / Vegetable Beer
1253,5.5,13.0,Hefeweizen
1254,5.1,20.0,Fruit / Vegetable Beer
1261,4.5,21.0,Belgian Pale Ale
1264,5.0,18.0,American Pale Wheat Ale
1266,6.0,14.0,Fruit / Vegetable Beer
1267,8.5,85.0,American Double / Imperial IPA
1268,9.9,93.0,American Double / Imperial IPA
1269,8.0,88.0,American IPA
1270,6.0,25.0,American Blonde Ale
1271,9.5,49.0,American Brown Ale
1272,6.6000000000000005,44.0,American Pale Ale (APA)
1280,5.0,20.0,Saison / Farmhouse Ale
1281,6.5,47.0,American Stout
1282,5.0,35.0,American Amber / Red Ale
1288,6.5,60.0,American IPA
1290,6.5,60.0,American IPA
1296,5.0,12.0,American Blonde Ale
1301,5.1,20.0,American Brown Ale
1306,6.0,24.0,American Amber / Red Ale
1307,5.0,12.0,Witbier
1308,6.800000000000001,68.0,American IPA
1309,5.5,15.0,American Pale Wheat Ale
1310,4.5,18.0,Munich Helles Lager
1311,5.7,30.0,American Porter
1312,6.2,65.0,American IPA
1313,3.7000000000000006,34.0,American Porter
1314,3.7000000000000006,21.0,Witbier
1315,3.7000000000000006,53.0,American Pale Ale (APA)
1319,7.200000000000001,75.0,American IPA
1320,7.200000000000001,75.0,American IPA
1321,4.2,22.0,American Blonde Ale
1322,5.2,27.0,American Porter
1323,5.2,23.0,American Amber / Red Ale
1324,5.4,42.0,American Pale Ale (APA)
1325,5.3,11.0,Fruit / Vegetable Beer
1326,5.3,30.0,American Brown Ale
1327,7.1,62.0,American IPA
1328,5.3,16.0,American Blonde Ale
1330,6.3,61.0,American IPA
1331,6.3,61.0,American IPA
1332,4.8,12.0,Witbier
1333,5.0,24.0,American Brown Ale
1334,5.7,70.0,American IPA
1335,8.0,100.0,American Double / Imperial IPA
1336,7.5,85.0,American IPA
1338,8.0,100.0,American Double / Imperial IPA
1339,6.3,30.0,Cream Ale
1340,5.800000000000001,28.0,Kölsch
1354,8.7,80.0,American Double / Imperial IPA
1355,5.1,24.0,American Amber / Red Ale
1356,7.5,51.0,American IPA
1357,6.5,20.0,Saison / Farmhouse Ale
1359,4.8,18.0,Vienna Lager
1360,5.1,24.0,American Amber / Red Ale
1375,6.800000000000001,66.0,American IPA
1376,4.8,44.0,American Pale Ale (APA)
1377,9.2,75.0,American Double / Imperial IPA
1385,7.5,85.0,American IPA
1386,6.800000000000001,75.0,American IPA
1387,5.2,50.0,American Pale Ale (APA)
1388,6.7,75.0,American Amber / Red Ale
1389,5.5,30.0,Saison / Farmhouse Ale
