,abv,ibu,style
1425,0.05,22.0,Cream Ale
1426,0.042,24.0,American Pale Wheat Ale
1427,0.07,22.0,American Porter
1429,0.055,15.0,Märzen / Oktoberfest
1432,0.085,86.0,American Double / Imperial IPA
1433,0.085,86.0,American Double / Imperial IPA
1437,0.065,65.0,American IPA
1438,0.048,10.0,Hefeweizen
1440,0.057,29.0,American Pale Ale (APA)
1443,0.045,40.0,American IPA
1444,0.065,70.0,American IPA
1445,0.05,29.0,American Pale Lager
1451,0.052000000000000005,18.0,American Amber / Red Ale
1452,0.05,29.0,American Pale Lager
1453,0.052000000000000005,18.0,American Amber / Red Ale
1454,0.05,29.0,American Pale Lager
1455,0.065,70.0,American IPA
1456,0.052000000000000005,18.0,American Amber / Red Ale
1457,0.065,70.0,American IPA
1459,0.052000000000000005,18.0,American Amber / Red Ale
1465,0.08800000000000001,85.0,American Double / Imperial IPA
1467,0.08800000000000001,85.0,American Double / Imperial IPA
1478,0.056,30.0,American Blonde Ale
1479,0.052000000000000005,50.0,American Amber / Red Ale
1482,0.042,35.0,Cream Ale
1487,0.051,31.0,American Pale Ale (APA)
1488,0.07200000000000001,80.0,American IPA
1493,0.045,50.0,American IPA
1497,0.06,25.0,American Porter
1501,0.063,42.0,American Pale Ale (APA)
1507,0.061,66.0,American IPA
1508,0.051,7.0,Fruit / Vegetable Beer
1509,0.067,70.0,American IPA
1510,0.054000000000000006,24.0,American Amber / Red Ale
1511,0.058,27.0,American Stout
1512,0.067,70.0,American IPA
1516,0.048,35.0,American Pale Ale (APA)
1523,0.054000000000000006,36.0,American Porter
1529,0.065,26.0,American Brown Ale
1530,0.06,29.0,Saison / Farmhouse Ale
1531,0.05,45.0,American Pale Ale (APA)
1532,0.057,26.0,American Stout
1535,0.065,65.0,American Brown Ale
1551,0.049,35.0,American IPA
1559,0.065,65.0,American Pale Ale (APA)
1560,0.065,65.0,American Pale Ale (APA)
1561,0.053,35.0,Czech Pilsener
1564,0.065,65.0,American Pale Ale (APA)
1566,0.065,65.0,American Pale Ale (APA)
1567,0.065,65.0,American Pale Ale (APA)
1568,0.087,85.0,American Double / Imperial IPA
1569,0.065,65.0,American Pale Ale (APA)
1570,0.065,65.0,American Pale Ale (APA)
1571,0.087,85.0,American Double / Imperial IPA
1576,0.09,60.0,American Double / Imperial IPA
1577,0.087,85.0,American Double / Imperial IPA
1579,0.053,35.0,Czech Pilsener
1580,0.099,100.0,American Double / Imperial IPA
1582,0.087,85.0,American Double / Imperial IPA
1583,0.065,65.0,American Pale Ale (APA)
1584,0.092,85.0,American Double / Imperial IPA
1590,0.065,65.0,American Pale Ale (APA)
1591,0.065,65.0,American Pale Ale (APA)
1592,0.065,65.0,American Pale Ale (APA)
1593,0.065,65.0,American Pale Ale (APA)
1594,0.065,65.0,American Pale Ale (APA)
1596,0.087,60.0,American Double / Imperial IPA
1597,0.087,85.0,American Double / Imperial IPA
1599,0.08,85.0,American Double / Imperial IPA
1601,0.065,65.0,American Pale Ale (APA)
1602,0.065,65.0,American Pale Ale (APA)
1604,0.055,55.0,American Pale Ale (APA)
1605,0.04,39.0,American Pale Ale (APA)
1609,0.053,48.0,American Pale Ale (APA)
1610,0.045,22.0,Kölsch
1612,0.05,24.0,American Porter
